beta,se
0.05241989890646048,0.013091992077522636
-0.0019177819412454808,0.013305641934702147
-0.03243683037338512,0.01394856484222772
-0.014952531920512943,0.013389660708629151
0.0015877370848619151,0.012693823168255375
-0.006661692336008547,0.014043610691039526
-0.03117480860577499,0.013392751776100952
-0.01867090974315326,0.012523100856939308
0.0041342621593561234,0.013275816294595134
0.012753933293699251,0.01279767775021131
-0.003449581628838943,0.012983785272466289
0.007956189676704032,0.013806852343610034
-0.01980196118550648,0.012798702342791311
0.03222396435697304,0.013167081979107856
-0.005715629926324947,0.013482200894305199
-0.01571480795870902,0.012983886004492337
-0.006530069792826769,0.014379011949532236
0.004690219306126209,0.014007731683034578
0.0040528870061996985,0.013213584113110376
0.006115252589457205,0.013994726463613764
-0.007114882875131546,0.013532983026938887
0.001993406576843706,0.01326410625989291
-0.005910470117704666,0.01383490681399183
0.003415877049892772,0.01418198757786564
0.009993448065616278,0.013367872142984731
-0.01690296062713189,0.013400654196418912
-0.011749118487715387,0.013148423475677037
0.002339056313427996,0.01336679005576301
-0.002543793761568077,0.01326715788902891
-0.005863747389126384,0.013037436776711346
-0.0014850268118613709,0.013522148686002879
0.006297299497629504,0.013405102279526881
-0.004694714300958518,0.013705115338493407
-0.015318904012239445,0.013031522717798281
-0.009555337007124845,0.013445154926620864
-0.013020334929214021,0.013396336109488627
0.023103582293534406,0.014057490688959704
0.02272673518523599,0.013093385304898246
0.02245781359948892,0.014283427562626447
0.005686940557941099,0.01321845209347038
-0.009363203506013697,0.01361241999536704
0.03687902043114594,0.013361995195928237
-0.02001575708052424,0.013210313643109269
-0.0011656870255079927,0.013221547688824869
-0.01891160688454297,0.013142879305158372
0.02199883698133101,0.013071743787762526
-0.023759995041188902,0.013513515017541127
0.032442052818064684,0.01356907836367665
0.008367561820079101,0.013079239636544414
0.015260960381947906,0.01363621757066537
-0.012424544011462264,0.014637715058916374
-0.018517925744189798,0.01367006585861998
0.01136387817487615,0.014041449293274668
0.032161884460038266,0.013675952474138681
-0.01292513705199482,0.013921382228227919
