beta,se,time
0.028227309905308053,0.013927553520774995,0.006823062896728516
0.0367993882544265,0.013212255907303619,0.007126808166503906
0.03263075995733966,0.013296999710249856,0.006743192672729492
0.034441598859079624,0.012808700128889308,0.00677490234375
0.043632601261729805,0.012405722578344158,0.006757020950317383
0.020977814211360985,0.014251191101648833,0.008825063705444336
0.04125290105709307,0.013046670618731758,0.007009983062744141
0.029069528417339587,0.013254494038554497,0.007569074630737305
0.06496927287111283,0.014165288285914927,0.009122133255004883
0.04526850443803661,0.013932473282167375,0.006695985794067383
0.033574347706613245,0.013610692147938998,0.00711512565612793
0.0545846497281255,0.012731032829976554,0.007261991500854492
0.020339725489824448,0.013572900242954277,0.007967948913574219
0.05438833485515416,0.012618795607105627,0.006705045700073242
0.02425945024405456,0.012577808188076533,0.007302045822143555
0.03366025472624131,0.013635245594428275,0.008430004119873047
0.030279225502100153,0.013130637083793733,0.0066890716552734375
0.029904594584849818,0.012644974434026252,0.0067348480224609375
0.045504156256651614,0.012179762119263424,0.006750822067260742
0.03229811603058826,0.012956607682616843,0.008044958114624023
0.05194472923045982,0.013742506129833623,0.006737947463989258
0.055166349917171266,0.014092417317712004,0.006737947463989258
0.055612100129899554,0.014661825517882974,0.007690906524658203
0.034623966736883616,0.012724590692316538,0.008254051208496094
0.02452906649832615,0.013649473026555035,0.006725788116455078
0.05934572938007289,0.01299751142287888,0.006719827651977539
0.02120465937630366,0.012885981106972044,0.007725954055786133
0.06276962051670015,0.01262575669917907,0.006677150726318359
0.041368254456829984,0.01256474073018862,0.006680965423583984
0.04614570816064339,0.013158362003692836,0.006728172302246094
0.04778017381393735,0.013036368910497432,0.007676124572753906
0.060508392989175264,0.013949399151651186,0.007966041564941406
0.060092667120309105,0.01405810335924647,0.0066869258880615234
0.03554261904966174,0.013114535221176971,0.006723165512084961
0.024355181095641144,0.013898430292305074,0.0067331790924072266
0.03865653339604568,0.01312752096369086,0.007882833480834961
0.06629318563486902,0.013470452452699162,0.0067310333251953125
0.061407353187772074,0.012551230442738918,0.008287906646728516
0.04848585665860258,0.013204580229557577,0.008322000503540039
0.06573996381424707,0.01309413126441369,0.007972955703735352
0.038932268915136625,0.014662545612470764,0.007923126220703125
0.031228171316450976,0.012828887523957272,0.008510112762451172
0.05685910130247382,0.01309438818912594,0.008114814758300781
0.06065463096824565,0.013067816643726188,0.008202075958251953
0.06319901217880199,0.012793443804283627,0.008160829544067383
0.03775622039096926,0.014105148485388066,0.008089065551757812
0.037553413770280854,0.013341231342267442,0.00893402099609375
0.044551751808809166,0.013377208493810704,0.012696981430053711
0.040518037867034805,0.014367695450863291,0.008957147598266602
0.04894243797642099,0.012502597355686786,0.011497020721435547
0.023835168176753,0.01414986514357353,0.008916854858398438
0.0282717468070656,0.012481573363140437,0.008744955062866211
0.04185574396602633,0.013353432837086877,0.00890493392944336
0.043827465921472616,0.01373415675355621,0.007761955261230469
0.02608074755121792,0.013399067259999167,0.008458852767944336
0.0694620149674603,0.012785765179832665,0.007897138595581055
0.0766069068573696,0.013401895917692077,0.007770061492919922
0.06128433933163666,0.013358617362746792,0.0067899227142333984
0.03667909315034095,0.01330151286343469,0.00716090202331543
0.03954225459538719,0.01310496411920974,0.008210897445678711
0.05510228503502439,0.013443852620848186,0.0067310333251953125
0.050194492916876714,0.013670890227393255,0.007472038269042969
0.0436136931195553,0.013976218559411616,0.006845951080322266
0.04027719361177586,0.012337552678935703,0.006712913513183594
0.0489242893357314,0.012758177164971025,0.008772850036621094
0.02749559440349461,0.012934607879788557,0.006657838821411133
0.07210469645370439,0.013732117077936678,0.007311105728149414
0.04091413195504113,0.013661789351118224,0.007929086685180664
0.06964721752225966,0.013376948814329586,0.008120059967041016
0.0442485204899675,0.013186428786501178,0.008200883865356445
0.029215908652331708,0.012684749796173905,0.0074939727783203125
0.05300793521055057,0.013725728227155216,0.008054018020629883
0.01161602789860595,0.013022758636453512,0.010288000106811523
0.03663521884108076,0.013049644157737116,0.0074918270111083984
0.034833171659576265,0.01324639425574308,0.00774693489074707
0.047670651486890744,0.01269548439462483,0.008454084396362305
0.04940731838311415,0.014150953859290312,0.006916046142578125
0.03320280516240485,0.013791522511046803,0.00675201416015625
0.05142641431251819,0.01340123570464946,0.008777856826782227
0.03339937234007625,0.012836629564775734,0.006737947463989258
0.019173667717409065,0.013113959120963081,0.007047891616821289
0.04062297091968071,0.012848209854750521,0.008219003677368164
0.05048374767649037,0.01331478565033551,0.006757974624633789
